parkingAreaOccupancy,parkingAreaStatusTime,parkingAreaTotalNumberOfVacantParkingSpaces,totalParkingCapacityLongTermOverride,totalParkingCapacityShortTermOverride,id,TIME
0.25083056,2021-08-01T18:11:00Z,451,150,602,1[Anlagenring],2021-08-01T18:12:02.742Z
0.07692308,2021-08-01T18:11:00Z,336,0,364,4[Bahnhofsviertel],2021-08-01T18:12:02.742Z
0.45587045,2021-08-01T18:11:00Z,672,0,1235,5[Dom / Römer],2021-08-01T18:12:02.742Z
0.36887872,2021-08-01T18:11:00Z,1379,45,2185,2[Zeil],2021-08-01T18:12:02.742Z
0.24086379,2021-08-01T18:37:00Z,457,150,602,1[Anlagenring],2021-08-01T18:37:00.108Z
0.071428575,2021-08-01T18:37:00Z,338,0,364,4[Bahnhofsviertel],2021-08-01T18:37:00.108Z
0.43724698,2021-08-01T18:37:00Z,695,0,1235,5[Dom / Römer],2021-08-01T18:37:00.108Z
0.36201373,2021-08-01T18:37:00Z,1394,45,2185,2[Zeil],2021-08-01T18:37:00.108Z
0.22425249,2021-08-01T18:52:00Z,467,150,602,1[Anlagenring],2021-08-01T18:52:01.428Z
0.07417583,2021-08-01T18:52:00Z,337,0,364,4[Bahnhofsviertel],2021-08-01T18:52:01.428Z
0.42510122,2021-08-01T18:52:00Z,710,0,1235,5[Dom / Römer],2021-08-01T18:52:01.428Z
0.3583524,2021-08-01T18:52:00Z,1402,45,2185,2[Zeil],2021-08-01T18:52:01.428Z
0.2026578,2021-08-01T19:12:00Z,480,150,602,1[Anlagenring],2021-08-01T19:12:00.047Z
0.06868132,2021-08-01T19:12:00Z,339,0,364,4[Bahnhofsviertel],2021-08-01T19:12:00.047Z
0.4048583,2021-08-01T19:12:00Z,735,0,1235,5[Dom / Römer],2021-08-01T19:12:00.047Z
0.35926774,2021-08-01T19:12:00Z,1400,45,2185,2[Zeil],2021-08-01T19:12:00.047Z
0.19601329,2021-08-01T19:23:00Z,484,150,602,1[Anlagenring],2021-08-01T19:22:01.931Z
